PRECINCT,CITY
4171107631,LONGMONT
4171207614,LONGMONT
2181307869,BOULDER
2171207302,LAFAYETTE
4171107624,LONGMONT
2181107918,LONGMONT
2181007842,BOULDER
4171107640,LONGMONT
2173307414,ERIE
2161307902,NEDERLAND
2173307410,LAFAYETTE
2181307871,BOULDER
4171107635,LONGMONT
2181007846,BOULDER
2181107916,ALLENSPARK
2181307910,BOULDER
2171207300,LAFAYETTE
4171207610,LONGMONT
2171207305,LAFAYETTE
2171207304,LAFAYETTE
2161307900,ELDORADO SPRINGS
2181007853,BOULDER
2173307411,ERIE
2181007807,BOULDER
2181007833,BOULDER
2181007809,BOULDER
2181307885,BOULDER
2171207311,LAFAYETTE
2171207303,LAFAYETTE
2171207313,LAFAYETTE
2181007803,BOULDER
2171207208,LOUISVILLE
2181307867,BOULDER
4171107649,LONGMONT
2181107913,BOULDER
2173307410,ERIE
2181307908,BOULDER
2181307887,BOULDER
2173307412,ERIE
2181307879,BOULDER
2181307857,BOULDER
4171107618,LONGMONT
4171207615,LONGMONT
2181007804,BOULDER
2181307865,BOULDER
2181007818,BOULDER
2181007852,BOULDER
2181007819,BOULDER
2181107912,BOULDER
2181007814,BOULDER
2181007827,BOULDER
2181107705,LONGMONT
2171207306,LAFAYETTE
2181007821,BOULDER
2181307868,BOULDER
2171207203,LOUISVILLE
2163307104,SUPERIOR
2181307888,BOULDER
2181007802,BOULDER
2181107506,NIWOT
2181307861,BOULDER
2181007808,BOULDER
2181107506,LONGMONT
2181107917,LYONS
2181007826,BOULDER
2181307872,BOULDER
4171207611,LONGMONT
2171207212,LOUISVILLE
2181007831,BOULDER
4171107616,LONGMONT
2181307919,NEDERLAND
2173307413,ERIE
2171207315,LAFAYETTE
2181007825,BOULDER
2181307877,BOULDER
2181007845,BOULDER
4171107627,LONGMONT
4171107647,LONGMONT
2181007850,BOULDER
2181307864,BOULDER
2181007801,BOULDER
4181107708,LONGMONT
2181307858,BOULDER
2181007828,BOULDER
2181007501,BOULDER
2181307874,BOULDER
2181007843,BOULDER
2181007848,BOULDER
2181307880,BOULDER
2181007829,BOULDER
2163307102,SUPERIOR
4171107633,LONGMONT
2161307901,GOLDEN
2163307107,SUPERIOR
4171107619,LONGMONT
4171207612,LONGMONT
2181007800,BOULDER
2181307875,BOULDER
2171207210,LOUISVILLE
2171207316,LAFAYETTE
4171107621,LONGMONT
2181307873,BOULDER
2171207213,LOUISVILLE
4171107637,LONGMONT
2181207406,LONGMONT
4171107653,LONGMONT
4171207656,LONGMONT
2181007841,BOULDER
2181207403,BOULDER
2181307862,BOULDER
2181107507,LONGMONT
4171107648,LONGMONT
2181307866,BOULDER
2181007503,LONGMONT
2181307884,BOULDER
4171107626,LONGMONT
4171207609,LONGMONT
4171107650,LONGMONT
2181007830,BOULDER
2181307863,BOULDER
4171207604,LONGMONT
4171107642,LONGMONT
2181107507,NIWOT
2181307856,BOULDER
2181107916,LYONS
4171107620,LONGMONT
4171207603,LONGMONT
2181007824,BOULDER
2171207310,LAFAYETTE
2181007503,BOULDER
4171107636,LONGMONT
4171107628,LONGMONT
2181007815,BOULDER
4171107623,LONGMONT
2171207202,LOUISVILLE
2181007502,BOULDER
2181007820,BOULDER
4171207608,LONGMONT
2181307876,BOULDER
2181307903,NEDERLAND
2171207308,LAFAYETTE
2181007811,BOULDER
4171107652,LONGMONT
2181307854,BOULDER
2181007851,BOULDER
4171207657,LONGMONT
2181007812,BOULDER
2171207201,LOUISVILLE
2181007844,BOULDER
2181107704,LONGMONT
2181007837,BOULDER
2181007823,BOULDER
2171207307,LAFAYETTE
2181007835,BOULDER
